RAmdeg,DEmdeg,BTmag,VTmag,HIP
59.26586663,23.17555496,6.069,6.04,18485
61.09030547,24.10599159,6.515,5.602,19009
59.35992368,24.46193506,7.973,6.325,18508
57.43137399,23.71185564,6.094,6.145,17900
57.71845427,23.96146799,7.04,6.949,17999
57.2372526,23.85712737,6.906,6.509,17832
57.49189523,23.84868983,6.828,6.809,17923
57.29059475,24.05341343,3.517,3.601,17847
57.29673613,24.13670934,4.939,5.028,17851
,,2.77,2.834,17702
56.83765273,24.11626712,6.302,6.273,
57.12539869,24.34552188,7.109,6.963,17791
56.87272446,24.28834365,6.887,6.815,17704
57.34062245,24.38095587,6.561,6.582,17862
56.51208183,24.52789899,6.401,6.418,17588
56.74748776,24.52012034,6.842,6.824,17664
56.47698571,24.55451092,5.706,5.745,17579
57.02725494,24.98841592,8.722,6.672,17759
58.04748808,25.16307923,7.456,6.83,18106
57.85538983,25.16292687,6.966,6.805,18046
57.57893316,25.57938512,5.501,5.262,17954
58.39365885,25.68288379,6.476,6.363,18201
54.24177322,23.21106965,6.863,6.73,16859
53.6109486,24.46449991,6.211,6.085,16664
55.19295969,25.32949086,6.217,6.114,17181
51.07698075,24.72406899,7.062,5.638,15861
56.29058097,24.83926193,5.561,5.636,17527
56.15492915,27.89744933,7.191,6.778,17470
56.18753471,27.92107884,7.651,6.91,17482
55.32664361,28.70275908,6.866,6.863,17220
38.22557576,15.03455478,6.657,6.052,11843
30.60411972,12.68509525,8.268,6.985,9517
30.64615196,13.47671807,8.061,6.178,9533
30.46003712,15.06708692,8.034,6.67,9470
33.26377241,15.27985606,7.8,5.89,10328
35.63831392,16.87027736,6.967,6.801,11075
32.3462979,17.22420187,6.919,6.471,10050
41.07963885,17.76392742,7.867,6.525,12784
37.72665696,17.70385663,7.365,6.326,11698
42.32316341,17.46431255,5.214,5.321,13165
42.13370689,18.28379329,7.408,5.967,13108
42.67753097,19.1604743,7.352,6.697,13269
40.59141515,20.01146329,5.71,5.729,12640
38.40220562,18.88002074,7.146,6.845,11904
37.660075,19.85530291,6.426,6.161,11678
34.78632732,19.68770499,7.491,6.881,10810
34.53140295,19.90116357,5.587,5.573,10732
39.70414727,21.96140783,5.65,5.472,12332
29.33772753,17.81753216,6.249,5.206,9110
27.04556814,16.95554991,5.804,5.836,8387
26.6470799,17.41269711,6.861,6.571,8271
27.94656423,18.28999953,8.037,6.734,8689
31.94151337,18.02943745,6.903,6.642,9924
29.72699648,18.35809488,8.355,6.929,9248
30.92753825,18.25324057,8.096,6.381,9627
32.65665872,19.50033775,7.84,5.887,10155
,,4.491,4.517,8832
,,4.553,4.584,8832
29.89867967,21.0585708,7.218,6.008,9307
26.23260677,20.08315124,7.147,6.359,8159
23.70443926,18.46051892,7.925,6.086,7359
23.70431681,20.172727,8.046,6.768,7358
25.62401387,20.26851628,6.3,5.337,7981
24.65530135,21.39822068,8.527,6.818,7658
,,2.827,2.651,8903
27.78943452,20.51437065,7.087,6.738,8619
27.53585018,22.27485376,7.659,6.325,8544
28.96266189,23.57731833,7.28,5.882,8993
28.0431345,24.11734806,8.237,6.885,8718
33.20035288,21.21099295,5.747,5.278,10306
35.52758431,22.87359221,7.613,6.7,11035
31.64135479,22.64831392,5.193,5.038,9836
34.74145411,23.16782168,6.862,6.484,10795
34.29349633,23.76783272,7.856,6.651,10657
33.8517173,24.2712899,7.675,6.882,10505
